comment_id,0,like_count,reply_count,author,published_time,reply_level,channel_id,display_name,avatar_url,verified,video_id,Date,Day_of_Week,Hour_of_Day
Ugx7Qy-WGcLy9echqHt4AaABAg,That sure doesn't look like a bird strike.,38,3,@markdunigan805,26 minutes ago,0,UCrp4GFEejfZhJnSg2lhLFYg,@markdunigan805,https://yt3.ggpht.com/ytc/AIdro_k0PVo4Ayjzf9FlRcdjZAQYBwK430_hLvWlP9jgikQjC65W-ONDWjkk4dykteuHJ96HgQ=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:38:23.718419-07:00,Thursday,14
UgzyxVpzWS5Zkrw52oN4AaABAg,No plane would take off with holes in a plane like that..zzzzz,19,2,@Joseph-i1t,19 minutes ago,0,UCHmZ_3-SEKNCXqQNTHYX8Iw,@Joseph-i1t,https://yt3.ggpht.com/ytc/AIdro_mhsmnYE8s43yKvrOUEuO15ubUhsinTg2sCvnzOqI9_bv10vBFKsBHnJGDP5ESWQFEWmg=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:45:23.718440-07:00,Thursday,14
UgwLGNsNlLwG5JOhNYl4AaABAg,Well black box recorders will clear up any ambiguity.,11,1,@paulcooverjr.6947,16 minutes ago,0,UCsaSoiXYRS86yHw8br7UVmg,@paulcooverjr.6947,https://yt3.ggpht.com/ytc/AIdro_lPzli4dJG5cLnw96ruYoBNm3_5_eD8i8XDpv7ulgomHNDYGeHCJcNCTE1xkfCyWJwrCw=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:48:23.718444-07:00,Thursday,14
Ugwkeqodk3FSuA2dltB4AaABAg,MAY? The last time they blamed Russia it wasn't it was themselves,17,1,@tammyanders991,20 minutes ago,0,UCz3iadoHRUZyZfYfDuR1gWQ,@tammyanders991,https://yt3.ggpht.com/I9PNRWImb2dYnGQUllaBdG1Wg34B0ZJmErfFB7zYSbOlhAt6KFsinadq3P19uzxFPP0Fa9EL0Q=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:44:23.718447-07:00,Thursday,14
UgwV9_lRZjJ2dUt80u94AaABAg,HEY LOOK A CIVILIAN AIRLINER,4,,@RAYTHEONGAMING,13 minutes ago,0,UCM3zGGQkCNz2-Y6AIPOs_rg,@RAYTHEONGAMING,https://yt3.ggpht.com/ytc/AIdro_maVxGOoN0AV_U2TuraUv2PEvC7OTJVezIZNgWBRFxs0ZM=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:51:23.718451-07:00,Thursday,14
Ugx4HL4aPP9sP7VzHct4AaABAg,"So, Russia has shot down a commercial aircraft for the second time in 10 years as a result of its invasion of Ukraine. Regardless of intent, those who perished in the crashes of Malaysia Airlines Flight 17 and Azerbaijan Airlines Flight 8243 were murdered by the Russian government.",36,7,@CircleJunctionTribal,18 minutes ago (edited),0,UCal0kIz5tnq6W44Kp7a0Vcw,@CircleJunctionTribal,https://yt3.ggpht.com/KIH6chTIHhBffczTVawAzBBe3jl7BxAcaO6-U1jyEOEsQKIgWbbFIcNcihb1iYouz5l7n1L-BiI=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:46:23.718454-07:00,Thursday,14
UgxdphsU1h922Gl0E594AaABAg,Any pictures of this plane before the crash?,8,2,@maggaman1603,22 minutes ago,0,UCVrXLy4lUGLojz1LU6qBUiw,@maggaman1603,https://yt3.ggpht.com/ytc/AIdro_kca4zzSa19srlRdWdaz9q9pwaIGyPYqmyE-ZvehQJr9YL_GufA3vS1TxtgqBQFVeLJKA=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:42:23.718458-07:00,Thursday,14
Ugz6j--a8sSqDZSrqPB4AaABAg,Not clear but we will make it a truth.  This is what is wrong with media today,5,,@Seer645,20 minutes ago,0,UCEcon37kMhmxS4CXvYRobeQ,@Seer645,https://yt3.ggpht.com/ytc/AIdro_kL1haAsSm1hRleF0ZFcEeXNP0qiFIci1uNDFIV9fk=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:44:23.718461-07:00,Thursday,14
UgzeV-yq013k9D3h_PN4AaABAg,Considering the source there is zero credibility on this.,2,,@andreinastase1604,4 minutes ago,0,UC84Sshecwx15HAKi0m0j0eQ,@andreinastase1604,https://yt3.ggpht.com/ytc/AIdro_lqybv1ymmQZzV-g7nROuYqYvRtqWJrzgIBL02smStPjjYqrzc547dVBcr4Ak5lP7MDAg=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 15:00:23.718464-07:00,Thursday,15
Ugw-tOjCLSu9hm9h_5l4AaABAg,I’m not getting on any airplane that’s flying over an active warzone,3,,@michaelmiguel6937,12 minutes ago,0,UCLZZwzlr1StSiAiBsmXb90A,@michaelmiguel6937,https://yt3.ggpht.com/ytc/AIdro_lHvjS7n4sOQP90l6NSQ0MmBo2YOc0cPyXUihCvkPkEWw=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:52:23.718468-07:00,Thursday,14
Ugw_OI1TZYHsS0W3x914AaABAg,Yeah that airplane obviously got shot down.,6,,@myrdon0131,16 minutes ago,0,UCpxVEpyqoofYOBWyxlISdOw,@myrdon0131,https://yt3.ggpht.com/ytc/AIdro_mhEP4KlwhNumS_zuQcomxA8E6n9VjLEUSkzgXE9Dc=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:48:23.718471-07:00,Thursday,14
Ugyltjn8b92jBhZL5yx4AaABAg,What do the survivors say they saw?  What are the eyewitness accounts?,7,,@SpaceCowboy-u7j,17 minutes ago,0,UCGu_mIJa2JTZ1dsBkmBuNFw,@SpaceCowboy-u7j,https://yt3.ggpht.com/QSkU7jCtWp9KWBKP1MmCPrYt5wATCrIY_61yPPb3WS5izyQj9K7TEa9ZwTB9BcBtqDCcQ-uN=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:47:23.718474-07:00,Thursday,14
UgxzylDk9X2vfoCSNjV4AaABAg,This comment section shows how much Russian propaganda and bots are all over social media nowadays,32,6,@grindflame6345,26 minutes ago,0,UC9kHGZS09C4n1LAoNN5shbQ,@grindflame6345,https://yt3.ggpht.com/ytc/AIdro_naO-4sl0iNRVIYMFKE_1w3KRZjdoujRE8fqBUpRMF4hqBpAhmO9ovoOzKerN1x_oFJ6Q=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:38:23.718477-07:00,Thursday,14
UgwpkN1__Ddn30Qhq6F4AaABAg,"Too many bots in comments, smd",11,1,@Calebaas,22 minutes ago,0,UCNwddiB0R_BFho86LbqwmCg,@Calebaas,https://yt3.ggpht.com/ytc/AIdro_lMqFxsB_N7_ZMXLv-Tz5GwsZh9TcbiA3RHvIkn7n4=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:42:23.718490-07:00,Thursday,14
Ugzqsul9nxjqW5wCu-Z4AaABAg,"Why would they even allow civilian flights when their country is at war, including battles within the country??", ,,@joshstevens2352,1 minute ago (edited),0,UCEuikEPp9GYTD5TxxdVsIhA,@joshstevens2352,https://yt3.ggpht.com/ytc/AIdro_kYvJ2AhCwIofoOAmNcYAg10KeRRrm2XfpFDzqUUGw=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 15:03:23.718493-07:00,Thursday,15
Ugx3USfxDT9By2J8P-p4AaABAg,"If something bad ever happens, Just blame Russia!", ,,@tim5114,1 minute ago,0,UCcuEkCBfPFv1iOUosBX6cvw,@tim5114,https://yt3.ggpht.com/ytc/AIdro_nfg1c60EQXATQV9Qy9x9NtjgL0T7TiBFgCzIJdySZT5A=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 15:03:23.718496-07:00,Thursday,15
UgyHGOFt0WR795V3f-R4AaABAg,We need to hold Russia Accountable this is a war crime, ,,@RyanShurtz-ti6gs,1 minute ago,0,UCG3gKOZLjxKEguKdJQiQBWw,@RyanShurtz-ti6gs,https://yt3.ggpht.com/ytc/AIdro_lBG4Q2j7htJbxg-phr_qVcAKlNOGbhJhWBe0SkBAuX3EdiRFA_mJUmpSD86gxTbRG5GQ=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 15:03:23.718500-07:00,Thursday,15
UgztnmARdoUd6BxlKeZ4AaABAg,"If it had been struck , there should have been smoke trail all the way through , there was no smoke trail, so nothing hit it . They already said it was a hydraulic mechanical failure",3,2,@sameemas1723,10 minutes ago,0,UCVe5eAAJLHzwvuPuacmAYXA,@sameemas1723,https://yt3.ggpht.com/ytc/AIdro_lNx3ND19GJ_jCLZI0z0r8NBZh6OxHRLMy_Pelaqfg=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:54:23.718502-07:00,Thursday,14
Ugwjg3IbQv2EsP_-zTB4AaABAg,"So a missile hit it, yet it managed to fly erratically intact before hitting the ground at low speed and altitude? Polite missile.", ,,@GrizzledSurvivor,2 minutes ago,0,UCDdRLRN8hFRboV05CxV6QlQ,@GrizzledSurvivor,https://yt3.ggpht.com/ytc/AIdro_nctgTMPwognUyodGGSWFTkQh6Tos8Lmv1JhQbcXSZHJg=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 15:02:23.718506-07:00,Thursday,15
UgxIA3zPWGLSRW3B8ot4AaABAg,But why do the bullet impact look like it imploded from the inside( the metal is bent outward and not inward so it cant be a force from outside striking the metal or else the metal would have been bent inward),5,4,@onearmrider2201,20 minutes ago,0,UCpJxGabqBUod7hHbUnSq5Vw,@onearmrider2201,https://yt3.ggpht.com/1r3MhEtGkyMxKY1wPU9QrhKguKCqo40taacKLCQ5SrMaL46rhd1c7sqIJq725dFXogimuhqoIg=s88-c-k-c0x00ffffff-no-rj,False,m1uZkmLHic8,2024-12-26 14:44:23.718509-07:00,Thursday,14
