comment_id,0,like_count,reply_count,author,published_time,reply_level,channel_id,display_name,avatar_url,verified,video_id,Date,Day_of_Week,Hour_of_Day
UgxjQbnpl9zFtu2tzB94AaABAg,What are we doing in this country,18,1,@degerdi,52 minutes ago,0,UCIEQOBsWbvWG-tL1ieyX57w,@degerdi,https://yt3.ggpht.com/ytc/AIdro_ntyMj4joP7Lx83GkZ6pu2nFktFozCniWYuwqj3EDHOkyY=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:11:19.728635-07:00,Monday,17
UgwrVvp8acRinr5rY4t4AaABAg,Ridiculous!,14,,@lavenderamethyst9473,55 minutes ago,0,UCQNNm26jAZ-c9ckLSZNs0Lw,@lavenderamethyst9473,https://yt3.ggpht.com/ytc/AIdro_mVlhiXUTSfsRdvuUl8W1qczch_e8bLxh39lK1exJoRmrY=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:08:19.728656-07:00,Monday,17
UgybLFk7A92RU2PgIql4AaABAg,This crime sounds like “hate motivated mass murder” to me.,3,,@TeenieICantEven,12 minutes ago,0,UCOUXh1z47ZX7FdFEXrtICBA,@TeenieICantEven,https://yt3.ggpht.com/iGthhJ7JcJLriOW8TklvWaprXnD6nG9K9Jq1p62JNgWStbUew5YvfdHov_4zmxf6SK1DkufrIw=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:51:19.728659-07:00,Monday,17
UgwG5L4H43jvramcaPF4AaABAg,WTF?????,9,,@kurtbottcher9811,49 minutes ago,0,UCFuO7MaCyzUHsmEvMZZzOIw,@kurtbottcher9811,https://yt3.ggpht.com/ytc/AIdro_nTHRD5leARg3EZ3MIiwujpXGDI3s8Gsobr-jQt2TI=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:14:19.728662-07:00,Monday,17
UgyjD8_OgVNepcQFrjJ4AaABAg,I'm surprised he doesn't let Diddy go free.,3,,@Floridainn,21 minutes ago,0,UCYn77_Isywu7hhnAQdKJTZw,@Floridainn,https://yt3.ggpht.com/GYvB_wuDt8aWK3sO_6cA45nCo7EsuezhwxtPyHw4mum78ra8meT7Ek5rPmhnox3HrfHvZsSs=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:42:19.728665-07:00,Monday,17
UgyQQxS14XZM492d2CF4AaABAg,Thanks democrats,15,1,@junicohen7918,51 minutes ago,0,UCr70cSmD5OhrHWN1CLXayTw,@junicohen7918,https://yt3.ggpht.com/ytc/AIdro_lay66qXfTMAN85wiUyQlfc-zcAbgrFrUnna4vsriU=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:12:19.728668-07:00,Monday,17
Ugy-F1hoFap1xz77WXZ4AaABAg,His name is savage. How fitting,1,,@i.will.pulverize,12 minutes ago,0,UCGx5_3ZtUxB5dvXJCLpO5ug,@i.will.pulverize,https://yt3.ggpht.com/hobP0c38V_PmTY2hvoS_FYQngcNjEctiukp8_q2chLr_v0UBsaG9B_-igflwoSjfAngCEm8W-A=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:51:19.728671-07:00,Monday,17
UgwIqYqNsFc8pVoAD3N4AaABAg,But couldn’t let the Muslim brother off,1,,@imarounddrivinglessons367,28 minutes ago,0,UCb3fwE6hJKYXS0a7RVVs6bQ,@imarounddrivinglessons367,https://yt3.ggpht.com/ytc/AIdro_kRCAW7Ghxt9wumqQqbMkFScnwy-Q6768aZQrEzDNoJzg=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:35:19.728674-07:00,Monday,17
UgxytdDlQSrdd9SBcA14AaABAg,👎🏽,1,,@theofficialbigrob,22 minutes ago,0,UCX_OkgDTxa0O80o7OC70z7A,@theofficialbigrob,https://yt3.ggpht.com/R85uaq0zVqOUF8OiULvouUQatW518-1cDRYWzkaBlTSSDsH4XtomMC8eA7e9cO-s7qdFW1jaAg=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:41:19.728706-07:00,Monday,17
Ugxt4vcsZzUSZ-MqHFl4AaABAg,😮,3,,@themasterteacher,55 minutes ago,0,UC1I90y6S16mXY-Q7uQ9FthA,@themasterteacher,https://yt3.ggpht.com/5ab-4yzEvEWizfRnJFvYjcBTLHSjZe8VLz48Qd0AfjEfMuFPJmKuE45P1DqNnPaXEh28XpzeMA=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:08:19.728709-07:00,Monday,17
UgxA_ZY9SvdTwPd15v94AaABAg,Age of Aquarius, ,,@joebryant9970,20 minutes ago,0,UC_aW8iHmZacSxIwAMvo_hPw,@joebryant9970,https://yt3.ggpht.com/ytc/AIdro_n5oZfODlupvwJaTGvKVhdf8EeWbVD76GCnIR6l7kw=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:43:19.728712-07:00,Monday,17
UgxBUOje05Uv09pOWZZ4AaABAg,"Most of Europe has already abolished the death sentence, even the highly conservatively run governments. Having to live your entire natural life out in a high security prison, knowing what you did, is worse punishment than ending your life early. It also gives psychological studies, subjects to learn from.",1,3,@DetroitMicroSound,34 minutes ago (edited),0,UCOQdhBRmoNR4PD8Nl-h-_LA,@DetroitMicroSound,https://yt3.ggpht.com/j2G3OFaN7QBPeOacI1UxJ6UU_gd0l-WfjNoc7ysw5zMn1g9CL0kxNTRaykcbxKSHYr37oPTqjg=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:29:19.728715-07:00,Monday,17
UgxC0Y9Qds1_U9wJUOV4AaABAg,Forgive,1,1,@damiendavis8485,53 minutes ago,0,UCD3HWclOwKvWCJdRRsvVBeA,@damiendavis8485,https://yt3.ggpht.com/ytc/AIdro_nSYEoY6E-QLJnMRaS2bjdmyVRnbwYfU5xrgSyYP2xDajU=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:10:19.728718-07:00,Monday,17
UgxjQbnpl9zFtu2tzB94AaABAg.ACPh2m-1wO5ACPkHZRixML,"The same thing nearly every country in Europe has been doing for a long time now, Including the conservative ones?",1,,@DetroitMicroSound,25 minutes ago,1,UCOQdhBRmoNR4PD8Nl-h-_LA,@DetroitMicroSound,https://yt3.ggpht.com/j2G3OFaN7QBPeOacI1UxJ6UU_gd0l-WfjNoc7ysw5zMn1g9CL0kxNTRaykcbxKSHYr37oPTqjg=s88-c-k-c0x00ffffff-no-rj,False,tlwMYS1xkao,2024-12-23 17:38:19.728721-07:00,Monday,17
