comment_id,0,like_count,reply_count,author,published_time,reply_level,channel_id,display_name,avatar_url,verified,video_id,Date,Day_of_Week,Hour_of_Day
Ugy8VECtqAVFwTc8H6t4AaABAg,What kind of message does this send to future criminals?,2,1,@zztop8592,10 minutes ago,0,UC9WnYKBDJqeCPGORnOSL9GA,@zztop8592,https://yt3.ggpht.com/ytc/AIdro_ncqJkAA_d_L9b3eiJcRgg0cFul8jjpExSl3L8TLwhkC8gct9cM58AXK1xj5iarASQCSQ=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:53:17.909832-07:00,Monday,5
Ugy_8Pd0-l20ambp_L54AaABAg,No pardons for the pope., ,,@napalmholocaust9093,6 minutes ago,0,UC0BOKwTyRDfBlK7NlMvEn3g,@napalmholocaust9093,https://yt3.ggpht.com/ytc/AIdro_lSCFz4Wmehc_FN-RM2OgGeu4x74nS86tH9G73Wc9b7zw=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:57:17.909847-07:00,Monday,5
Ugxz7vclF24HqqTFobx4AaABAg,Isn't trump the president?,2,4,@ethanpritt542,12 minutes ago,0,UCVlrfg7IbkTWNNjrTzSXSfg,@ethanpritt542,https://yt3.ggpht.com/kcAvLRDtTtHUmP2VXRZwe2n03wminsdCP3qvY2gcswm9BDYOk7LRFpVwNdnZTEiq65O_0yTtGw=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:51:17.909850-07:00,Monday,5
Ugz90etcNKHNcguxzfl4AaABAg,Amen,1,1,@Lee_mar_rock,17 minutes ago,0,UC7ai1k7s-ToZeWtHgwMs3Zw,@Lee_mar_rock,https://yt3.ggpht.com/ytc/AIdro_m3Yl3m9qH-IUOKLAf3pBJSlnvQlGD9qMxZLMPtPaM=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:46:17.909852-07:00,Monday,5
UgwLn7O38jpjcW2KhD14AaABAg,i bet he didnt commute any white people.,1,1,@YoMomma-j1l,11 minutes ago,0,UCuEJaaClV4F7olucFTob0UQ,@YoMomma-j1l,https://yt3.ggpht.com/ytc/AIdro_kTBZSGKEAheYsTKn4afVEwgqvCdN3xf1wRiQqkT8iMIBWaKzUggCo0tbCy2a1UTpRsTg=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:52:17.909854-07:00,Monday,5
Ugy8VECtqAVFwTc8H6t4AaABAg.ACOUSf05P8hACOV6j3y_aw,Right wtf, ,,@ChayaHampton,5 minutes ago,1,UC06pZlJ_cp65Ou-6qtJjwjw,@ChayaHampton,https://yt3.ggpht.com/ytc/AIdro_nspOsTSamNj0y-PPtCxi_dLjrzu6MKDPux2Xcl3-cqoi3a3KTrnVdMRxc3I3eEbQVJnQ=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:58:17.909856-07:00,Monday,5
Ugz90etcNKHNcguxzfl4AaABAg.ACOTe9Ke-whACOUX89b99W,why??, ,,@AmirSaudTajul,10 minutes ago,1,UCEJR3btOyK5PUmfDz9g7hbw,@AmirSaudTajul,https://yt3.ggpht.com/ytc/AIdro_nzf_38osY0eh7aPQbfKu6wRof-DTAs7pSaNm9ZMqGPUJFfWyS5SFzzSHFBOz2qGsV8gw=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:53:17.909858-07:00,Monday,5
Ugxz7vclF24HqqTFobx4AaABAg.ACOUIhyLX9QACOUUmfJT67,january 20th next year..,1,,@AmirSaudTajul,11 minutes ago (edited),1,UCEJR3btOyK5PUmfDz9g7hbw,@AmirSaudTajul,https://yt3.ggpht.com/ytc/AIdro_nzf_38osY0eh7aPQbfKu6wRof-DTAs7pSaNm9ZMqGPUJFfWyS5SFzzSHFBOz2qGsV8gw=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:52:17.909861-07:00,Monday,5
Ugxz7vclF24HqqTFobx4AaABAg.ACOUIhyLX9QACOV1xSS3Ss,Isn't your picture of a hamster?, ,,@napalmholocaust9093,6 minutes ago,1,UC0BOKwTyRDfBlK7NlMvEn3g,@napalmholocaust9093,https://yt3.ggpht.com/ytc/AIdro_lSCFz4Wmehc_FN-RM2OgGeu4x74nS86tH9G73Wc9b7zw=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 05:57:17.909864-07:00,Monday,5
Ugxz7vclF24HqqTFobx4AaABAg.ACOUIhyLX9QACOVaVNvROo,Get some help 🤦‍♂️, ,,@OwenSweet-r1f,1 minute ago,1,UC4bQlFLaVZQmlhEYDRj0PUQ,@OwenSweet-r1f,https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj,False,x-jRgmj5zns,2024-12-23 06:02:17.909867-07:00,Monday,6
