comment_id,0,like_count,reply_count,author,published_time,reply_level,channel_id,display_name,avatar_url,verified,video_id,Date,Day_of_Week,Hour_of_Day
UgyMZApzLewkAeH9EcZ4AaABAg,Ok was the other person speeding? If you see a crash wouldn’t you slow down?,9,1,@stansmiley9737,56 minutes ago,0,UCDRN3b3RPzQNtIp56QqCWxg,@stansmiley9737,https://yt3.ggpht.com/rC3Js6kYD5-V1lmhhibBynuqEYMkA6Mfc6whAT042KGatwt9iXzh1ThBCD_ei9Le4kuBo81enw=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:11:01.154610-07:00,Monday,10
UgyRFD4up1tgVfvy8kp4AaABAg,Never ever get out of your car unless its to get to the median,8,,@Metonymy1979,53 minutes ago,0,UCIsy1oIZrTKKU-pjqGezSZQ,@Metonymy1979,https://yt3.ggpht.com/ytc/AIdro_nhgbVEa3wxr5_VE_TbIQ0BZZ4-Ef5TSCydc_Zeed1mDwo=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:14:01.154635-07:00,Monday,10
UgyWxdiQNOaMrgf3yYZ4AaABAg,This is why I avoid highways in Florida,5,3,@queenvero157,54 minutes ago,0,UCiqfOgErMfQeQKmwtPVZkYA,@queenvero157,https://yt3.ggpht.com/ytc/AIdro_nfOCzuyg4sTLyn5Bd89YTsemCpwyrgVuyPfwj1WkolRHo=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:13:01.154639-07:00,Monday,10
Ugz7i-u8qgTrg_sLN694AaABAg,Please stop texting and driving 😢🙏,5,,@williamrizzo1285,50 minutes ago,0,UC6RsZym2iz6z-g5XP0xgkXQ,@williamrizzo1285,https://yt3.ggpht.com/ytc/AIdro_m6TFuJIoOEdKQNXhwvwurHyBU05D5SpbPIN4jeAowMYM4=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:17:01.154642-07:00,Monday,10
Ugw8MD6zh5PH3X8FW5J4AaABAg,Prayers and super sad,2,,@queenvero157,54 minutes ago,0,UCiqfOgErMfQeQKmwtPVZkYA,@queenvero157,https://yt3.ggpht.com/ytc/AIdro_nfOCzuyg4sTLyn5Bd89YTsemCpwyrgVuyPfwj1WkolRHo=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:13:01.154645-07:00,Monday,10
UgztTYO8CNirHEB1wyd4AaABAg,Angels had an assignment.,1,,@franklix,56 minutes ago,0,UCuVejnB8CRNFS6-9oIYmMOA,@franklix,https://yt3.ggpht.com/ytc/AIdro_mdOO2EY4ORtn-Y2xhRFyxUQ_rN-fziwNrX7Lr1UtLjew=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:11:01.154648-07:00,Monday,10
UgzGkLQObxasCMt5hvV4AaABAg,That's very sad., ,,@patrickaupont916,2 minutes ago,0,UCSiqzNDNiNN669AxzbCognA,@patrickaupont916,https://yt3.ggpht.com/ytc/AIdro_mp1PXYJfhE597eTZvjG-jUznKbEAr6AcTpiVmytZw=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 11:05:01.154651-07:00,Monday,11
UgyXs4ExRbl5XsDZ86p4AaABAg,Most accidents happen when drivers don’t pay attention when they are driving !,2,,@quangtrinh8769,40 minutes ago,0,UCP6q59kthUYNXsSbQlZ-Eow,@quangtrinh8769,https://yt3.ggpht.com/ytc/AIdro_lbbgQ8CP6-6oO-3msj4fKCfQ5VqZx_rge6zqmbFDghDT8=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:27:01.154655-07:00,Monday,10
UgwQy1pc-IvXEY_ryHd4AaABAg,"⚡ A yr ago same reportedly 
 happened N Bound i95 Atlantic area... Woman got out of vehicle reportedly after involved in accident - GOD SPEED & GOD BLESS THE FAMILIES/FRIENDS💜🙏", ,,@JR-zm2yu,4 minutes ago,0,UC-NcFyR0pyjlsv23k6PCNzA,@JR-zm2yu,https://yt3.ggpht.com/ytc/AIdro_nHQA_eFNLgMQXON_P6femAerpukM8kFpdYeO6maEs=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 11:03:01.154659-07:00,Monday,11
UgzoxWrUHNZzpjfS-Lt4AaABAg,Stop looking at your phone and watch the road., ,,@michaelmelton7295,4 minutes ago,0,UCLKO1a4enzU6Oqav56MGH5g,@michaelmelton7295,https://yt3.ggpht.com/ytc/AIdro_lcgaQovxJQCdtB5rzM9R2rI_X-AmH_Z2Yu_WyDY58=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 11:03:01.154662-07:00,Monday,11
UgzaJ7bbeL4Wqg1dIWR4AaABAg,"This is sad, these people don’t know how to drive, if you get into a fender bender you HAVE TO PULL OVER , DONT STAY ON THE ROAD WITH YOUR EMERGENCY LIGHTS,  people in south Florida need to go back to driving school", ,,@reytech1786,7 minutes ago,0,UCgx_G8RQvGzpUUPFXOrb-yw,@reytech1786,https://yt3.ggpht.com/ytc/AIdro_mcSiKVAkPnEypsElzSrTPVkiir070qfS_OGu8wrsMJiA=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 11:00:01.154665-07:00,Monday,11
UgyAsm9RryiW5vZ68zF4AaABAg,Where, ,,@queenvero157,55 minutes ago,0,UCiqfOgErMfQeQKmwtPVZkYA,@queenvero157,https://yt3.ggpht.com/ytc/AIdro_nfOCzuyg4sTLyn5Bd89YTsemCpwyrgVuyPfwj1WkolRHo=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:12:01.154669-07:00,Monday,10
Ugw3atsCvynJxlKgIrJ4AaABAg,Third car was speeding AND/OR not paying attention., ,,@angostura7797,38 minutes ago,0,UCRmxCF_xujwAzpaxmf7vY8g,@angostura7797,https://yt3.ggpht.com/ytc/AIdro_lE-2v4pt1Am5Vt4Pedf4xjFjaVCExlg_cJVl7OY2xcwvV1BhXRzUSHIHLwFa5dONFuTw=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:29:01.154672-07:00,Monday,10
UgzQ12CNQZe26dEzZAB4AaABAg,Florida is like collection of America's worst drivers,1,,@SiriasisOFFICIAL,35 minutes ago,0,UCKXfRgwEQXtSQprg-QDftWA,@SiriasisOFFICIAL,https://yt3.ggpht.com/E0-x9lPm5YAyHogCpbesRP1XvpHNNJV3uguisVDiA6Cm4lVJMmFIFKo7gnsY45zcIb2IzeQDEA=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:32:01.154675-07:00,Monday,10
UgwDAhYg_aBQNWXsAwV4AaABAg,The person that hit them was that person Cuban. Is that person responsible?,1,,@floridaroadways,53 minutes ago,0,UCN0DRerLd9qZlmDN9wfhV5g,@floridaroadways,https://yt3.ggpht.com/roOSvaSak6FgEQuTpofc9XbGIgu2qLGn3JyfsDVdCy-q3vURhGojFNmJYH1K4itt-uCP8YOfjA=s88-c-k-c0x00ffffff-no-rj,False,pYm2KGag3w0,2025-01-13 10:14:01.154678-07:00,Monday,10
