channel_id,video_id,video_title,video_url,views,timeScraped
@WRAL5,BZ7PZMyY2Cg,Crash blocks Triangle Expressway near Holly Springs,https://www.youtube.com/watch?v=BZ7PZMyY2Cg,96,2025-01-20T23:05:09.721Z
@WRAL5,6BRkc87A9TQ,Serious crash with unknown injuries shuts down part of NC-540 overnight in Wake County,https://www.youtube.com/watch?v=6BRkc87A9TQ,590,2025-01-20T23:05:09.721Z
@6abcActionNews,q4DIOvD-4B8,Body found near railroad tracks in New Jersey,https://www.youtube.com/watch?v=q4DIOvD-4B8,2346,2025-01-20T23:03:51.149Z
@WFRVLocal5,ilp7cvT-nPk,Winterfest on Broadway presented by Green Bay Packers Give Back,https://www.youtube.com/watch?v=ilp7cvT-nPk,61,2025-01-20T23:03:21.098Z
@WFRVLocal5,DQvTsdiDkdA,"Air-powered rifle shooting in Fond du Lac leads to traffic stop & arrest, victim shot at 3 times",https://www.youtube.com/watch?v=DQvTsdiDkdA,32,2025-01-20T23:03:21.098Z
@13ONYOURSIDE,hbD-tucec3U,"Extreme cold, snowfall could cause slick road conditions in West Michigan",https://www.youtube.com/watch?v=hbD-tucec3U,268,2025-01-20T23:03:05.826Z
@13ONYOURSIDE,qi-dqw3_Iu4,Kent County Road Commission explains how crews handle road clearing,https://www.youtube.com/watch?v=qi-dqw3_Iu4,119,2025-01-20T23:03:05.826Z
abc15,jNlf24IJUJk,Driver sentenced to 22 years in prison for wrong-way crash that killed three GCU students in 2022,https://www.youtube.com/watch?v=jNlf24IJUJk,1360,2025-01-20T23:02:51.815Z
abc15,0ov68jexfwU,One person dead after shooting involving Phoenix police near 35th Avenue and Baseline Road,https://www.youtube.com/watch?v=0ov68jexfwU,2100,2025-01-20T23:02:51.815Z
abc15,c_SR9QknIZM,Man seriously injured after stabbing near Reems Road and Grand Avenue,https://www.youtube.com/watch?v=c_SR9QknIZM,924,2025-01-20T23:02:51.815Z
abc15,3Y9u9yLOr5g,How Valley drivers deal with road rage,https://www.youtube.com/watch?v=3Y9u9yLOr5g,1657,2025-01-20T23:02:51.815Z
@fox5atlanta,pIDxHOdPix8,What's brine? Georgia winter weather road prep begins | FOX 5 News,https://www.youtube.com/watch?v=pIDxHOdPix8,1453,2025-01-20T23:01:46.737Z
@fox5atlanta,-w680JgAWu0,"GDOT brine trucks treat Georgia roads before snow, ice | FOX 5 News",https://www.youtube.com/watch?v=-w680JgAWu0,5801,2025-01-20T23:01:46.737Z
@fox5atlanta,9RGF-CnSGPU,"Biden commutes 2,500 sentences | FOX 5 News",https://www.youtube.com/watch?v=9RGF-CnSGPU,5614,2025-01-20T23:01:46.737Z
@News4JAX,PQBwTkRmgB8,Live from DC: This Week In Jacksonville takes show on the road to preview Trump's inauguration,https://www.youtube.com/watch?v=PQBwTkRmgB8,1011,2025-01-20T23:01:19.907Z
